time_s,pos_x,pos_y,pos_z,speed_kmh,altitude_m,pitch_deg,roll_deg
0.00,581.08,501.68,288.77,100.0,501.68,1.29,-0.07
0.01,582.35,501.68,289.75,100.0,501.68,1.26,-0.06
0.03,583.62,501.68,290.73,100.0,501.68,1.23,-0.06
0.05,584.89,501.68,291.70,100.0,501.68,1.21,-0.06
0.06,586.15,501.68,292.68,100.0,501.68,1.19,-0.06
0.08,587.42,501.68,293.65,100.0,501.68,1.16,-0.05
0.10,588.69,501.68,294.63,100.0,501.68,1.14,-0.05
0.11,589.96,501.68,295.60,100.0,501.68,1.12,-0.05
0.13,591.23,501.68,296.58,100.0,501.68,1.09,-0.05
0.15,592.49,501.68,297.55,100.0,501.68,1.07,-0.04
0.16,593.76,501.68,298.53,100.0,501.68,1.05,-0.04
0.18,595.03,501.68,299.50,100.0,501.68,1.03,-0.04
0.20,596.30,501.68,300.48,100.0,501.68,1.01,-0.04
0.21,597.57,501.68,301.46,100.0,501.68,0.99,-0.03
0.23,598.83,501.68,302.43,100.0,501.68,0.97,-0.03
0.25,600.10,501.69,303.41,100.0,501.69,0.95,-0.03
0.26,601.37,501.69,304.38,100.0,501.69,0.93,-0.03
0.28,602.64,501.69,305.36,100.0,501.69,0.91,-0.03
0.30,603.91,501.69,306.33,100.0,501.69,0.89,-0.03
0.31,605.17,501.69,307.31,100.0,501.69,0.88,-0.03
0.33,606.44,501.69,308.28,100.0,501.69,0.86,-0.02
0.35,607.71,501.69,309.26,100.0,501.69,0.84,-0.02
0.36,608.98,501.69,310.24,100.0,501.69,0.82,-0.02
0.38,610.25,501.69,311.21,100.0,501.69,0.81,-0.02
0.40,611.52,501.69,312.19,100.0,501.69,0.79,-0.02
0.41,612.78,501.69,313.16,100.0,501.69,0.78,-0.02
0.43,614.05,501.69,314.14,100.0,501.69,0.76,-0.02
0.45,615.32,501.69,315.11,100.0,501.69,0.75,-0.02
0.46,616.59,501.69,316.09,100.0,501.69,0.73,-0.02
0.48,617.86,501.69,317.06,100.0,501.69,0.72,-0.02
0.50,619.12,501.69,318.04,100.0,501.69,0.70,-0.01
0.51,620.39,501.69,319.02,100.0,501.69,0.69,-0.01
0.53,621.66,501.69,319.99,100.0,501.69,0.67,-0.01
0.55,622.93,501.69,320.97,100.0,501.69,0.66,-0.01
0.57,624.20,501.69,321.94,100.0,501.69,0.65,-0.01
0.58,625.46,501.69,322.92,100.0,501.69,0.63,-0.01
0.60,626.73,501.69,323.89,100.0,501.69,0.62,-0.01
0.61,628.00,501.69,324.87,100.0,501.69,0.61,-0.01
0.63,629.27,501.69,325.85,100.0,501.69,0.60,-0.01
0.65,630.54,501.69,326.82,100.0,501.69,0.58,-0.01
0.67,631.80,501.69,327.80,100.0,501.69,0.57,-0.01
0.68,633.07,501.69,328.77,100.0,501.69,0.56,-0.01
0.70,634.34,501.69,329.75,100.0,501.69,0.55,-0.01
0.71,635.61,501.69,330.72,100.0,501.69,0.54,-0.01
0.73,636.88,501.69,331.70,100.0,501.69,0.53,-0.01
0.75,638.15,501.69,332.67,100.0,501.69,0.52,-0.01
0.76,639.41,501.69,333.65,100.0,501.69,0.51,-0.01
0.78,640.68,501.69,334.63,100.0,501.69,0.50,-0.01
0.80,641.95,501.69,335.60,100.0,501.69,0.49,-0.01
0.81,643.22,501.70,336.58,100.0,501.70,0.48,-0.01
0.83,644.49,501.70,337.55,100.0,501.70,0.47,-0.01
0.85,645.75,501.70,338.53,100.0,501.70,0.46,-0.00
0.86,647.02,501.70,339.50,100.0,501.70,0.45,-0.00
0.88,648.29,501.70,340.48,100.0,501.70,0.44,-0.00
0.90,649.56,501.70,341.46,100.0,501.70,0.43,-0.00
0.91,650.83,501.70,342.43,100.0,501.70,0.42,-0.00
0.93,652.09,501.70,343.41,100.0,501.70,0.41,-0.00
0.95,653.36,501.70,344.38,100.0,501.70,0.41,-0.00
0.96,654.63,501.70,345.36,100.0,501.70,0.40,-0.00
0.98,655.90,501.70,346.33,100.0,501.70,0.39,-0.00
1.00,657.17,501.70,347.31,100.0,501.70,0.38,-0.00
1.01,658.43,501.70,348.28,100.0,501.70,0.37,-0.00
1.03,659.70,501.70,349.26,100.0,501.70,0.37,-0.00
1.05,660.97,501.70,350.24,100.0,501.70,0.36,-0.00
1.06,662.24,501.70,351.21,100.0,501.70,0.35,-0.00
1.08,663.51,501.70,352.19,100.0,501.70,0.35,-0.00
1.10,664.78,501.70,353.16,100.0,501.70,0.34,-0.00
1.11,666.04,501.70,354.14,100.0,501.70,0.33,-0.00
1.13,667.31,501.70,355.11,100.0,501.70,0.33,-0.00
